Time,Kathmandu Airport
01/01/1999 03:00:00,98.4
01/01/1999 12:00:00,56.3
01/02/1999 03:00:00,100
01/02/1999 12:00:00,56.6
01/03/1999 03:00:00,100
01/03/1999 12:00:00,46.8
01/04/1999 03:00:00,98.4
01/04/1999 12:00:00,47
01/05/1999 03:00:00,96.9
01/05/1999 12:00:00,54.9
01/06/1999 03:00:00,96.8
01/06/1999 12:00:00,58.3
01/07/1999 03:00:00,100
01/07/1999 12:00:00,75
01/08/1999 03:00:00,100
01/08/1999 12:00:00,52.3
01/09/1999 03:00:00,100
01/09/1999 12:00:00,61.6
01/10/1999 03:00:00,100
01/10/1999 12:00:00,58.8
01/11/1999 03:00:00,100
01/11/1999 12:00:00,57.3
01/12/1999 03:00:00,100
01/12/1999 12:00:00,42.9
01/13/1999 03:00:00,100
01/13/1999 12:00:00,48.6
01/14/1999 03:00:00,98.4
01/14/1999 12:00:00,49.3
01/15/1999 03:00:00,98.4
01/15/1999 12:00:00,50.2
01/16/1999 03:00:00,100
01/16/1999 12:00:00,50.2
01/17/1999 03:00:00,96.9
01/17/1999 12:00:00,45.6
01/18/1999 03:00:00,82.6
01/18/1999 12:00:00,49.7
01/19/1999 03:00:00,91.1
01/19/1999 12:00:00,49.2
01/20/1999 03:00:00,100
01/20/1999 12:00:00,48.2
01/21/1999 03:00:00,98.6
01/21/1999 12:00:00,45.3
01/22/1999 03:00:00,98.6
01/22/1999 12:00:00,41
01/23/1999 03:00:00,98.4
01/23/1999 12:00:00,41.3
01/24/1999 03:00:00,81.4
01/24/1999 12:00:00,41.2
01/25/1999 03:00:00,100
01/25/1999 12:00:00,46.2
01/26/1999 03:00:00,100
01/26/1999 12:00:00,46.3
01/27/1999 03:00:00,91.4
01/27/1999 12:00:00,54.5
01/28/1999 03:00:00,100
01/28/1999 12:00:00,59.1
01/29/1999 03:00:00,100
01/29/1999 12:00:00,54.7
01/30/1999 03:00:00,100
01/30/1999 12:00:00,49.6
01/31/1999 03:00:00,100
01/31/1999 12:00:00,52.5
02/01/1999 03:00:00,100
02/01/1999 12:00:00,51.2
02/02/1999 03:00:00,98.6
02/02/1999 12:00:00,54.6
02/03/1999 03:00:00,100
02/03/1999 12:00:00,52.3
02/04/1999 03:00:00,91.4
02/04/1999 12:00:00,39.3
02/05/1999 03:00:00,76.1
02/05/1999 12:00:00,31.4
02/06/1999 03:00:00,100
02/06/1999 12:00:00,29.3
02/07/1999 03:00:00,98.6
02/07/1999 12:00:00,48.4
02/08/1999 03:00:00,100
02/08/1999 12:00:00,55.3
02/09/1999 03:00:00,95.3
02/09/1999 12:00:00,51.8
02/10/1999 03:00:00,88.5
02/10/1999 12:00:00,49.1
02/11/1999 03:00:00,97.6
02/11/1999 12:00:00,38.6
02/12/1999 03:00:00,93.8
02/12/1999 12:00:00,38.6
02/13/1999 03:00:00,97.4
02/13/1999 12:00:00,26.9
02/14/1999 03:00:00,93.8
02/14/1999 12:00:00,38.8
02/15/1999 03:00:00,90.3
02/15/1999 12:00:00,53
02/16/1999 03:00:00,100
02/16/1999 12:00:00,68.8
02/17/1999 03:00:00,98.7
02/17/1999 12:00:00,24.5
02/18/1999 03:00:00,92.4
02/18/1999 12:00:00,39.4
02/19/1999 03:00:00,97.5
02/19/1999 12:00:00,40.3
02/20/1999 03:00:00,100
02/20/1999 12:00:00,35.8
02/21/1999 03:00:00,90.6
02/21/1999 12:00:00,54.7
02/22/1999 03:00:00,88.4
02/22/1999 12:00:00,58.1
02/23/1999 03:00:00,93
02/23/1999 12:00:00,58.1
02/24/1999 03:00:00,100
02/24/1999 12:00:00,49.3
02/25/1999 03:00:00,87.3
02/25/1999 12:00:00,43.3
02/26/1999 03:00:00,83.8
02/26/1999 12:00:00,64.7
02/27/1999 03:00:00,95.5
02/27/1999 12:00:00,44.7
02/28/1999 03:00:00,88
02/28/1999 12:00:00,36.9
03/01/1999 03:00:00,87.2
03/01/1999 12:00:00,32.5
03/02/1999 03:00:00,87.4
03/02/1999 12:00:00,50.5
03/03/1999 03:00:00,81.9
03/03/1999 12:00:00,46.1
03/04/1999 03:00:00,95.2
03/04/1999 12:00:00,47.4
03/05/1999 03:00:00,82.9
03/05/1999 12:00:00,54.3
03/06/1999 03:00:00,97.6
03/06/1999 12:00:00,47.6
03/07/1999 03:00:00,98.9
03/07/1999 12:00:00,50
03/08/1999 03:00:00,91.5
03/08/1999 12:00:00,37
03/09/1999 03:00:00,71.4
03/09/1999 12:00:00,30.7
03/10/1999 03:00:00,72.8
03/10/1999 12:00:00,16.6
03/11/1999 03:00:00,50.6
03/11/1999 12:00:00,20.9
03/12/1999 03:00:00,52
03/12/1999 12:00:00,26.5
03/13/1999 03:00:00,63.1
03/13/1999 12:00:00,26.4
03/14/1999 03:00:00,64.3
03/14/1999 12:00:00,38.4
03/15/1999 03:00:00,73.9
03/15/1999 12:00:00,48.9
03/16/1999 03:00:00,78.4
03/16/1999 12:00:00,48
03/17/1999 03:00:00,76.9
03/17/1999 12:00:00,25.6
03/18/1999 03:00:00,54
03/18/1999 12:00:00,21.8
03/19/1999 03:00:00,62.4
03/19/1999 12:00:00,37.6
03/20/1999 03:00:00,68.1
03/20/1999 12:00:00,27.6
03/21/1999 03:00:00,69.9
03/21/1999 12:00:00,36.5
03/22/1999 03:00:00,71
03/22/1999 12:00:00,35.5
03/23/1999 03:00:00,77.1
03/23/1999 12:00:00,40.3
03/24/1999 03:00:00,73.1
03/24/1999 12:00:00,44.7
03/25/1999 03:00:00,76
03/25/1999 12:00:00,30.4
03/26/1999 03:00:00,74.9
03/26/1999 12:00:00,31.4
03/27/1999 03:00:00,61.4
03/27/1999 12:00:00,55
03/28/1999 03:00:00,69.7
03/28/1999 12:00:00,43.9
03/29/1999 03:00:00,74.3
03/29/1999 12:00:00,45
