Precipitation_mm,Min_Temp_C,Max_Temp_C
0.0,0.3,20.2
0.0,0.8,21.0
0.0,0.5,23.6
0.0,1.2,22.2
0.0,1.0,21.7
0.0,0.2,21.0
0.0,0.8,13.6
0.0,1.0,20.1
0.0,2.3,14.8
0.0,1.2,17.1
0.0,-2.0,20.4
0.0,-1.4,21.0
0.0,-0.2,20.2
0.0,-0.9,21.0
0.0,0.0,21.1
0.0,0.5,21.0
0.0,1.1,21.0
0.0,1.4,21.7
0.0,1.2,21.5
0.0,1.2,21.5
0.0,2.2,23.0
0.0,2.1,23.0
0.0,1.4,24.4
0.0,2.6,23.5
0.0,2.7,24.3
0.0,3.2,22.6
0.0,2.2,23.2
0.0,2.6,22.2
3.6,8.3,16.0
0.6,1.7,21.2
0.0,1.4,22.5
0.0,1.0,22.0
0.0,3.8,16.2
0.0,2.5,20.4
0.0,2.5,24.0
0.0,7.0,25.2
0.0,3.6,23.8
0.0,2.8,24.5
0.0,4.3,24.4
0.0,8.1,25.6
0.0,7.7,26.6
0.0,6.1,27.0
0.0,5.9,28.7
0.0,5.2,28.5
0.0,5.4,28.4
0.0,6.7,26.6
0.0,7.3,28.2
0.0,5.0,29.0
0.0,5.2,28.2
0.0,5.7,27.2
0.0,5.2,27.0
0.0,8.9,26.4
0.0,7.0,27.1
0.0,7.9,25.5
0.0,7.9,26.9
0.0,8.7,25.1
0.0,10.2,25.7
4.2,9.0,25.2
0.0,6.0,26.0
0.0,3.6,24.8
0.0,4.1,25.8
0.0,6.8,27.2
0.0,7.6,28.2
0.0,8.2,28.1
0.0,8.8,29.2
0.0,9.5,29.0
0.0,10.3,31.0
0.0,8.7,31.1
0.0,8.2,31.0
0.0,7.1,29.5
0.0,6.3,29.1
0.0,5.5,28.1
0.0,4.1,28.0
0.0,6.4,25.0
0.0,7.5,26.4
0.0,7.4,29.5
0.0,6.8,30.0
0.0,6.3,30.2
0.0,6.6,29.7
0.0,4.8,28.7
0.0,6.0,27.0
0.0,5.7,27.0
0.0,7.2,27.5
0.0,8.5,28.5
0.0,8.6,28.6
0.0,7.7,27.0
0.0,8.0,27.5
0.0,11.2,28.0
0.0,10.5,26.6
